ID,파일명,대주제,불공정 약관 원문,시정 요청 사유,근거 조항(약관법),수정 후 약관 조항
V-012,AI_Generated_Data,고객의 권익 보호,회원이 올린 콘텐츠에 대한 모든 권리는 회사에 귀속된다.,"창작자인 회원에게 부여된 저작권을 상당한 이유 없이 배제하고 사업자에게 모두 귀속시키는 조항으로, 법률에 따른 고객의 권리를 부당하게 제한한다.",약관법 제11조 제1호,"회사는 회원 콘텐츠를 서비스 제공 목적으로만 사용하고, 추가 사용 시 동의를 요청한다."
V-013,AI_Generated_Data,고객의 권익 보호,회원은 게시물을 등록함과 동시에 회사에 완전한 소유권을 이전한다.,"회원의 게시물 등록 행위를 저작권의 포괄적 양도 의사표시로 간주하는 조항으로, 법률에 따른 고객의 권리를 상당한 이유 없이 제한한다.",약관법 제11조 제1호,"회원 게시물은 서비스 제공 범위 내에서만 사용하며, 상업적 이용 시 사전 동의를 받는다."
V-014,AI_Generated_Data,고객의 권익 보호,회원이 작성한 글과 사진의 저작권은 자동으로 회사에 귀속된다.,"저작권법상 창작자에게 원시적으로 귀속되는 저작권을 자동으로 사업자에게 이전시키는 조항으로, 법률에 따른 고객의 권익을 부당하게 침해한다.",약관법 제11조 제1호,"회사는 회원의 게시물을 서비스 내 활용 목적으로만 사용하며, 추가 사용 시 동의를 구한다."
V-015,AI_Generated_Data,고객의 권익 보호,회원이 등록한 콘텐츠는 별도의 동의 없이 회사가 자유롭게 이용할 수 있다.,"회원의 개별적 동의 없이 저작재산권 이용을 포괄적으로 허락하게 하는 조항으로, 법률에 따른 고객의 권리를 상당한 이유 없이 제한한다.",약관법 제11조 제1호,"회사는 게시물을 서비스 제공 범위 내에서만 이용하며, 다른 목적 사용 시 동의를 받는다."
V-016,AI_Generated_Data,고객의 권익 보호,"회사는 회원 게시물에 대한 모든 권리를 소유하며, 회원은 이를 철회할 수 없다.","회원의 저작권을 사업자에게 일방적으로 귀속시키고 철회권마저 배제하는 조항으로, 법률에 따른 고객의 권리를 부당하게 제한한다.",약관법 제11조 제1호,"회원 게시물은 서비스 목적 범위 내에서만 사용하고, 추가 목적 시 동의를 요청한다."
V-017,AI_Generated_Data,고객의 권익 보호,회원이 제공한 콘텐츠는 등록과 동시에 회사 소유로 간주된다.,저작권법상 회원에게 보장된 권리를 상당한 이유 없이 배제하고 등록과 동시에 사업자에게 포괄적으로 이전시키는 조항입니다.,약관법 제11조 제1호,"회사는 콘텐츠를 서비스 제공 목적으로만 사용하며, 상업적 이용 시 별도 동의를 받는다."
V-018,AI_Generated_Data,고객의 권익 보호,"회원은 게시물 권리를 회사에 양도하며, 회사는 이를 제한 없이 사용할 수 있다.","저작재산권의 양도 및 이용 범위를 제한 없이 설정하여, 법률에 따른 고객의 권리를 상당한 이유 없이 배제하거나 제한하는 조항입니다.",약관법 제11조 제1호,"회사는 서비스 제공 범위 내에서만 게시물을 활용하며, 영리 이용 시 동의를 구한다."
V-019,AI_Generated_Data,고객의 권익 보호,"회원이 등록한 콘텐츠는 회사가 소유하며, 삭제 요구는 인정되지 않는다.","회원의 저작권을 포괄적으로 귀속시키고 저작인격권에 기반한 삭제 요구 권리까지 제한하는 조항으로, 고객의 권익을 부당하게 침해한다.",약관법 제11조 제1호,"회원 콘텐츠는 서비스 목적 범위 내에서만 사용하며, 삭제 요청 시 검토 후 처리한다."
V-020,AI_Generated_Data,고객의 권익 보호,"회원이 만든 자료는 회사에 귀속되며, 회원은 어떠한 권리 주장도 할 수 없다.","회원의 저작권을 포함한 모든 권리 주장을 원천적으로 배제하는 조항으로, 법률에 따른 고객의 권리를 상당한 이유 없이 박탈한다.",약관법 제11조 제1호,"회원 자료는 서비스 제공 목적 내 사용에 한정하며, 추가 사용 시 동의를 받는다."
V-021,AI_Generated_Data,고객의 권익 보호,"회원의 게시물은 회사 소유로 자동 귀속되며, 반환 요구가 불가하다.","저작권을 자동으로 귀속시키고 데이터 반환 요구권까지 배제하는 조항으로, 법률에 따른 고객의 권리를 부당하게 제한한다.",약관법 제11조 제1호,"회사는 게시물을 서비스 제공 범위 내에서만 활용하며, 반환 요청 시 합리적으로 검토한다."
V-022,AI_Generated_Data,고객의 권익 보호,회원이 만든 콘텐츠는 즉시 회사 소유로 이전된다.,"저작권법상 창작과 동시에 회원에게 발생하는 저작권을 즉시, 포괄적으로 사업자에게 이전시키는 조항으로 고객의 권익을 침해한다.",약관법 제11조 제1호,"콘텐츠 사용은 서비스 제공 목적 내로 제한하며, 추가 이용 시 동의를 받는다."
V-023,AI_Generated_Data,고객의 권익 보호,회원이 작성한 글과 이미지는 회사가 전적으로 소유한다.,"서비스 제공에 필요한 범위를 현저히 초과하여 회원의 저작재산권을 전적으로 사업자에게 귀속시키는 조항으로, 고객의 권리를 부당하게 제한한다.",약관법 제11조 제1호,"회사는 회원 콘텐츠를 서비스 목적 범위 내에서만 사용하며, 다른 목적 시 동의를 구한다."
V-024,AI_Generated_Data,고객의 권익 보호,"회원이 올린 자료는 회사 소유이며, 회원은 철회할 수 없다.","회원의 저작권을 일방적으로 사업자에게 귀속시키고 이에 대한 철회 기회조차 배제하는 조항으로, 법률상 고객의 권리를 침해한다.",약관법 제11조 제1호,"회원 자료는 서비스 제공 목적으로만 사용하며, 별도 이용 시 동의를 받는다."
V-025,AI_Generated_Data,고객의 권익 보호,"회원이 제공한 모든 콘텐츠는 회사가 소유하며, 반환 요청은 인정되지 않는다.","회원의 저작권을 포괄적으로 박탈하고 데이터 반환 요청을 원천적으로 배제하는 조항으로, 법률에 따른 고객의 권리를 부당하게 제한한다.",약관법 제11조 제1호,"회사는 게시물을 서비스 목적 범위 내에서만 사용하며, 반환 요청 시 검토 후 처리한다."
V-026,AI_Generated_Data,고객의 권익 보호,"회원 게시물에 대한 권리는 회사에 귀속되고, 회원은 사용 제한을 요구할 수 없다.","회원의 저작권을 사업자에게 귀속시키고 자신의 저작물에 대한 이용 제한 요구 권리까지 배제하는 조항으로, 고객의 권익을 침해한다.",약관법 제11조 제1호,"회사는 게시물을 서비스 제공 목적 내에서만 활용하며, 제한 요청 시 합리적으로 처리한다."
V-027,AI_Generated_Data,고객의 권익 보호,회원이 등록한 글과 사진은 회사 소유로 즉시 간주된다.,"별도의 양도 계약이나 합의 없이, 등록이라는 사실만으로 저작권을 포괄적으로 이전시키는 조항으로 법률에 따른 고객의 권리를 부당하게 제한한다.",약관법 제11조 제1호,"콘텐츠 사용은 서비스 제공 범위 내에서만 가능하며, 추가 목적은 회원 동의를 받는다."
V-028,AI_Generated_Data,고객의 권익 보호,"회원 콘텐츠는 회사 소유이며, 회원은 권리를 주장할 수 없다.","회원의 저작권을 사업자에게 귀속시키고, 저작인격권을 포함한 어떠한 권리 주장도 할 수 없도록 제한하는 조항입니다.",약관법 제11조 제1호,"회사는 게시물을 서비스 목적 내에서만 사용하고, 추가 이용은 동의를 받는다."
V-029,AI_Generated_Data,고객의 권익 보호,회원이 만든 모든 자료는 회사 소유로 간주된다.,"저작권법의 대원칙을 무시하고 회원이 창작한 모든 저작물의 권리를 사업자에게 자동으로 귀속시키는 조항으로, 고객의 권리를 부당하게 침해한다.",약관법 제11조 제1호,"회원 자료는 서비스 제공 범위 내 사용에 한정하며, 추가 사용 시 동의를 받는다."
V-030,AI_Generated_Data,손해배상액의 예정,"회원이 월 이용료를 하루라도 연체할 경우, 잔여 계약기간 총 이용료의 50%를 위약금으로 즉시 납부해야 한다.",고객에게 부당하게 과중한 손해배상 의무를 부담시키는 조항입니다. 연체로 인한 실제 손해에 비해 위약금이 지나치게 높게 산정되었습니다.,약관법 제8조,"회원이 이용료를 연체하는 경우, 연체된 금액에 대해 연 12%의 지연손해금을 부과한다."
V-031,AI_Generated_Data,"계약의 해제,해지",회원은 서비스 개시 이후에는 어떠한 사유로도 중도 해지가 불가능하다.,법률에 따라 고객에게 부여된 해제권 또는 해지권을 상당한 이유 없이 배제하거나 그 행사를 제한하는 조항입니다.,약관법 제9조 제1호,"회원은 언제든지 계약을 해지할 수 있다. 단, 해지 시점까지의 이용료와 별도 위약금이 부과될 수 있다."
V-032,AI_Generated_Data,소송 관할의 합의,본 계약과 관련된 모든 분쟁은 회사의 본점 소재지를 관할하는 법원을 전속적 합의 관할로 한다.,"민사소송법상의 관할 규정에도 불구하고, 고객에게 현저히 불리한 재판관할을 설정하여 소 제기 권리를 실질적으로 제한하는 조항입니다.",약관법 제14조 제1호,본 계약에 관한 분쟁은 민사소송법에서 정한 바에 따른다.
V-033,AI_Generated_Data,면책조항의 금지,"회사는 제휴업체가 제공하는 정보의 정확성에 대해 어떠한 책임도 지지 않으며, 모든 책임은 회원에게 있다.","사업자가 제3자(제휴업체)를 통해 이행을 보조하는 부분에 대해, 사업자 자신의 책임을 부당하게 면제하는 조항입니다.",약관법 제7조 제1호,"회사는 제휴업체 정보의 정확성을 위해 노력하며, 회사의 중대한 과실로 인해 잘못된 정보가 제공되어 손해가 발생한 경우 책임을 부담한다."
V-034,AI_Generated_Data,의사표시의 의제,회사가 약관 변경을 통지한 후 7일 내에 회원이 이의를 제기하지 않으면 변경된 약관에 동의한 것으로 간주한다.,"법률 규정과 달리, 고객의 의사표시가 없는 경우 특정 의사표시를 한 것으로 보는 조항은 고객에게 부당하게 불리할 수 있다.",약관법 제12조 제1호,"회사가 약관을 변경할 경우, 회원은 변경에 동의하지 않을 권리가 있으며, 기간 내 거부 의사를 표시하지 않으면 동의한 것으로 본다. (단, 불리한 변경 시에는 개별 동의 필요)"
V-035,AI_Generated_Data,채무의 이행,회사는 경영상의 판단에 따라 사전 고지 없이 언제든지 서비스 제공을 일시적으로 중단할 수 있다.,상당한 이유 없이 사업자가 이행해야 할 급부(서비스 제공)를 일방적으로 중지할 수 있도록 하여 고객에게 부당한 위험을 부담시키는 조항입니다.,약관법 제10조 제2호,"회사는 시스템 점검 등 부득이한 사유 발생 시 최소 24시간 전에 공지하고 서비스를 중단할 수 있다. 단, 긴급 장애 발생 시에는 선 조치 후 공지할 수 있다."
V-036,AI_Generated_Data,"계약의 해제,해지","회원이 1회 이상 약관을 위반한 경우, 회사는 즉시 계약을 해지하고 잔여 이용료를 반환하지 않는다.","사소한 의무 위반만으로도 사업자가 일방적으로 계약을 해지할 수 있도록 하고, 고객의 환불 권리를 부당하게 박탈하는 조항입니다.",약관법 제9조 제3호,"회원이 약관의 중대한 조항을 위반하고 시정 요구에도 응하지 않을 경우 계약을 해지할 수 있으며, 환불 규정에 따라 잔여 금액을 정산한다."
V-037,AI_Generated_Data,손해배상액의 예정,"회원의 귀책사유로 장비가 파손될 경우, 회원은 장비의 잔존가치와 무관하게 구매 당시 가격 전액을 배상해야 한다.",고객의 손해배상 범위를 부당하게 확대하여 과중한 의무를 부담시키는 조항입니다. 실제 손해는 감가상각을 고려한 잔존가치를 기준으로 산정되어야 한다.,약관법 제8조,"회원의 귀책사유로 장비가 파손될 경우, 회원은 해당 장비의 감가상각을 고려한 잔존가치를 기준으로 손해를 배상해야 한다."
V-038,AI_Generated_Data,"계약의 해제,해지",회원은 구매한 디지털 콘텐츠에 대해 어떠한 경우에도 청약 철회를 할 수 없다.,전자상거래법 등 법률에서 보장하는 고객의 청약철회권을 상당한 이유 없이 배제하거나 제한하는 조항입니다.,약관법 제9조 제1호,"회원은 관련 법령(전자상거래법 등)에 따라 청약 철회가 가능한 경우, 규정에 따라 청약을 철회할 수 있다."
V-039,AI_Generated_Data,면책조항의 금지,"회사는 서비스 장애로 인해 발생한 회원의 간접적, 결과적 손해(사업 손실 등)에 대해서는 책임지지 않는다.","사업자의 귀책사유로 인한 채무 불이행의 경우, 특별손해(결과적 손해)에 대해서도 사업자가 그 사정을 알았거나 알 수 있었을 때에는 배상 책임이 있으나 이를 부당하게 면제하고 있다.",약관법 제7조 제2호,"회사는 회사의 귀책사유로 인한 서비스 장애 발생 시, 관련 법령이 정하는 범위 내에서 회원의 손해를 배상한다."
V-040,AI_Generated_Data,"계약의 해제,해지",본 유료 서비스는 계약 만료 1개월 전까지 해지 신청을 하지 않으면 동일한 조건으로 자동 연장된다.,"계약의 자동 연장 조항은 그 자체로 무효는 아니나, 고객이 인지하기 어려운 방식으로 장기간의 사전 통지 의무를 부과하여 해지권을 실질적으로 제한한다.",약관법 제9조 제6호,본 계약은 만료 1개월 전까지 양 당사자의 별도 의사표시가 없는 경우 동일 조건으로 1개월 단위로 자동 연장된다. 회사는 계약 만료 7일 전 이 사실을 회원에게 통지한다.
V-041,AI_Generated_Data,고객의 권익 보호,회원은 회사에 대한 채권을 타인에게 양도할 수 없다.,"법률상 자유롭게 양도할 수 있는 고객의 채권(환불금 등)에 대해, 그 양도를 상당한 이유 없이 금지하는 조항입니다.",약관법 제11조 제3호,"회원은 회사에 대한 채권을 제3자에게 양도할 수 있다. 단, 양도 사실을 회사에 통지해야 한다."
V-042,AI_Generated_Data,일반원칙,"회원이 제공한 개인정보가 사실과 다를 경우, 모든 법적 책임은 회원에게 있으며 회사는 어떠한 의무도 부담하지 않는다.","개인정보 오기재의 경우에도 회사는 서비스 제공 및 개인정보 보호 의무를 부담하나, 이를 포괄적으로 면제하고 모든 책임을 고객에게 전가하는 조항입니다.",약관법 제6조 제2항 제1호,"회원은 정확한 정보를 제공할 의무가 있다. 정보 오기재로 인한 불이익은 회원의 책임이나, 회사는 법령상 부과된 의무를 다한다."
V-043,AI_Generated_Data,일반원칙,"회원이 탈퇴한 경우, 회원이 보유한 모든 포인트와 쿠폰은 즉시 소멸되며 복구되지 않는다.","고객이 탈퇴하더라도 잔여 포인트 등은 재산적 가치가 있으므로, 일정 기간 유예나 환급 절차 없이 즉시 소멸시키는 것은 고객에게 부당하게 불리한다.",약관법 제6조 제2항 제1호,"회원 탈퇴 시, 잔여 포인트는 관련 법령 및 포인트 정책에 따라 환급 또는 소멸되며, 소멸 전 회원에게 사전 고지한다."
V-044,AI_Generated_Data,손해배상액의 예정,"회원이 예약을 취소할 경우, 예약 시점과 무관하게 총 이용금액의 80%를 위약금으로 부과한다.","취소 시점에 따라 사업자의 실제 손해액이 달라짐에도 불구하고, 일률적으로 과도한 위약금을 부과하는 것은 고객에게 부당하게 불리한 조항입니다.",약관법 제8조,"예약 취소 시, 공정거래위원회 소비자분쟁해결기준에 따라 취소 시점별로 차등적인 위약금이 부과된다."
V-045,AI_Generated_Data,면책조항의 금지,"천재지변, DDoS 공격 등 불가항력으로 인한 서비스 중단에 대해 회사는 책임을 지지 않는다.","DDoS 공격 등은 사업자가 충분히 예견하고 방어해야 할 기술적 위험에 해당할 수 있음에도, 이를 포괄적인 면책 사유로 규정하여 사업자의 책임 범위를 부당하게 축소하고 있다.",약관법 제7조 제1호,"회사는 천재지변 등 진정한 불가항력으로 인한 서비스 중단에 대해서는 책임을 지지 않는다. 단, 해킹 등 기술적 침해에 대해서는 방어 의무를 다하며, 과실이 있는 경우 책임을 진다."
V-046,AI_Generated_Data,면책조항의 금지,"회원은 구매한 상품에 하자가 있더라도, 수령 후 24시간 이내에 이의를 제기하지 않으면 환불 및 교환을 요청할 수 없다.",민법 등 관련 법률에서 보장하는 고객의 하자담보책임 기간(예: 안 날로부터 30일)을 상당한 이유 없이 부당하게 단축하는 조항입니다.,약관법 제7조 제3호,"구매한 상품에 하자가 있는 경우, 회원은 관련 법령(민법, 전자상거래법 등)에서 정한 기간 내에 교환 및 환불을 요청할 수 있다."
V-047,AI_Generated_Data,면책조항의 금지,"회사의 사정으로 계약이 해지되는 경우, 회사는 이용료 환불 외에 별도의 손해배상을 하지 않는다.","사업자의 귀책사유로 계약이 해지되어 고객에게 추가적인 손해가 발생한 경우, 고객은 손해배상을 청구할 권리가 있으나 이를 원천적으로 배제하고 있다.",약관법 제7조 제2호,"회사의 귀책사유로 계약이 해지되는 경우, 회사는 이용료 환불 규정에 따름과 동시에 이로 인해 회원이 입은 손해를 법률에 따라 배상한다."
V-048,AI_Generated_Data,채무의 이행,신규 서비스 출시 및 이벤트 내용은 회사의 정책에 따라 공지 없이 변경되거나 중단될 수 있다.,"고객의 신뢰와 예측 가능성을 저해하는 조항입니다. 특히 고객이 특정 혜택을 기대하고 계약을 체결한 경우, 일방적인 변경/중단은 부당한다.",약관법 제10조 제1호,"회사는 신규 서비스 및 이벤트 내용을 변경할 경우, 사전에 그 내용을 공지하여야 한다. 단, 부득이한 경우 예외로 할 수 있다."
V-049,AI_Generated_Data,소송 제기의 금지 등,회원은 본 계약과 관련하여 소비자보호원 등 분쟁조정기구에 조정을 신청할 수 없다.,고객이 법원에 소를 제기하기 전 분쟁을 해결할 수 있는 법률상 권리(조정신청권)를 상당한 이유 없이 배제하는 조항입니다.,약관법 제14조 제1호,"회원은 본 계약과 관련하여 분쟁 발생 시, 법원에 소를 제기하기 전에 관련 법률에 따라 분쟁조정기구에 조정을 신청할 수 있다."
V-050,AI_Generated_Data,손해배상액의 예정,"회원이 작성한 후기가 허위 사실로 판명될 경우, 회원은 회사에 1,000만 원의 손해배상금을 지급해야 한다.","실제 손해액을 입증하기 어려운 경우를 대비한 손해배상액의 예정이라 하더라도, 그 금액이 부당하게 과다하여 고객의 표현의 자유를 위축시킬 수 있다.",약관법 제8조,"회원의 허위 후기로 인해 회사에 손해가 발생한 경우, 회원은 그 실제 손해액을 배상할 책임을 진다."
V-051,AI_Generated_Data,고객의 권익 보호,회원은 어떠한 경우에도 회사의 채무와 자신의 채무를 상계할 수 없다.,"민법상 고객에게 보장된 상계권을 상당한 이유 없이 배제하는 조항으로, 고객의 권익을 부당하게 침해한다.",약관법 제11조 제1호,"회원은 회사에 대한 채권을 보유한 경우, 회사의 회원에 대한 채권과 법률이 정하는 바에 따라 상계할 수 있다."
V-052,AI_Generated_Data,면책조항의 금지,비밀번호 등 접근정보가 유출되어 발생한 모든 금융사고의 책임은 전적으로 회원에게 있다.,"사업자는 접근정보 유출을 방지할 보안 시스템을 구축하고 유지할 의무가 있으나, 그 책임을 전적으로 고객에게 전가하고 사업자의 책임을 부당하게 면제하는 조항입니다.",약관법 제7조 제1호,"회원은 자신의 접근정보를 안전하게 관리할 책임이 있다. 단, 회사의 보안 시스템상 과실로 인해 정보가 유출되어 손해가 발생한 경우 회사가 책임을 부담한다."
V-053,AI_Generated_Data,일반원칙,본 약관에 명시되지 않은 사항은 회사가 정하는 별도의 관례에 따른다.,"약관에 규정되지 않은 중요한 사항을 법률이나 사회상규가 아닌, 사업자가 일방적으로 정하는 '관례'에 따르도록 하는 것은 고객에게 예측 불가능한 위험을 부담시키는 불공정 조항입니다.",약관법 제6조 제2항 제1호,본 약관에 명시되지 않은 사항에 대해서는 관련 법령 및 공정한 일반 상관례에 따른다.
V-054,AI_Generated_Data,"계약의 해제,해지","회원이 3개월 이상 서비스를 이용하지 않을 경우, 회사는 통보 없이 계정을 삭제하고 모든 데이터를 파기할 수 있다.","장기 미이용을 이유로 계정을 삭제하더라도, 고객의 재산인 데이터를 복구할 기회나 사전 통지 없이 일방적으로 처리하는 것은 고객의 권리를 부당하게 침해한다.",약관법 제12조 제1호,"회사는 회원이 1년 이상 서비스를 이용하지 않을 경우, 휴면 계정으로 전환하고 30일 전에 이메일 등으로 통지한 후 계정 및 데이터를 삭제할 수 있다."
V-055,AI_Generated_Data,손해배상액의 예정,"회원이 타인의 지식재산권을 침해한 경우, 회원은 이로 인해 회사가 입은 모든 유무형의 손해를 배상해야 한다.",모든 유무형의 손해'라는 불명확한 개념을 사용하여 고객의 손해배상 범위를 부당하게 확대할 위험이 있는 조항입니다.,약관법 제8조,"회원의 행위로 인해 타인의 지식재산권이 침해되어 회사에 손해가 발생한 경우, 회원은 법률상 인과관계가 인정되는 범위 내에서 그 손해를 배상한다."
V-056,AI_Generated_Data,채무의 이행,포인트의 유효기간은 회사의 정책에 따라 별도 고지 없이 변경될 수 있다.,고객의 재산적 가치와 직결되는 포인트 유효기간을 사전 고지 없이 일방적으로 변경할 수 있도록 하여 고객에게 부당하게 불리한 조항입니다.,약관법 제10조 제1호,"회사는 포인트 유효기간 등 중요한 정책을 변경하는 경우, 최소 30일 전에 회원에게 공지해야 하며, 불리한 변경 시에는 동의를 받는다."
V-057,AI_Generated_Data,고객의 권익 보호,회원이 게시한 모든 게시물은 공공의 이익을 위해 회사가 영구적으로 보존하고 사용할 수 있다.,"공공의 이익'이라는 추상적이고 포괄적인 사유를 들어 고객의 저작물에 대한 통제권(삭제, 수정 등)을 영구적으로 박탈하는 것은 부당한 권리 제한입니다.",약관법 제10조 제1호,"회사는 법령에 따른 보관 의무가 있는 경우를 제외하고는, 회원의 삭제 요청 시 게시물을 삭제 처리한다."
V-058,AI_Generated_Data,면책조항의 금지,회사는 웹사이트에 표시되는 광고 내용의 진실성에 대해 보증하지 않으며 어떠한 책임도 지지 않는다.,"사업자는 자신이 매개하는 광고의 내용에 대해 일정한 검토 의무가 있음에도 불구하고, 관련 책임을 포괄적으로 면제하여 고객을 위험에 노출시키는 조항입니다.",약관법 제7조 제1호,"회사는 건전한 광고가 노출되도록 노력하며, 회사가 광고 내용이 허위임을 알았거나 알 수 있었음에도 방치하여 회원에게 손해가 발생한 경우 책임을 질 수 있다."
V-059,AI_Generated_Data,"계약의 해제,해지","이용요금 인상에 동의하지 않는 회원은 서비스를 해지할 수 있으나, 잔여기간에 대한 환불은 불가하다.","사업자의 요금 인상이라는 중대한 계약 변경에 대해 고객이 동의하지 않아 계약을 해지하는 경우, 고객에게 귀책사유가 없음에도 환불을 거부하는 것은 부당한다.",약관법 제9조 제5호,"회사는 이용요금 인상에 동의하지 않는 회원이 계약을 해지할 경우, 위약금 없이 잔여 이용료를 비례 계산하여 환불한다."
V-060,AI_Generated_Data,대리인의 책임 가중,회원의 가족이나 동거인이 회원 계정으로 일으킨 문제에 대해서는 회원이 모든 책임을 진다.,"고객의 대리인(가족 등)이 한 행위에 대해, 고객의 귀책사유(감독 소홀 등)를 따지지 않고 포괄적으로 고객에게 책임을 부담시키는 부당한 조항입니다.",약관법 제7조 제2호,회원은 자신의 계정 정보가 타인에게 유출되지 않도록 관리할 책임이 있다. 회원의 관리 소홀로 인해 발생한 문제에 대해서는 회원이 책임을 부담할 수 있다.
V-061,AI_Generated_Data,일반원칙,"본 약관의 해석에 이견이 있을 경우, 회사의 해석이 최종적이며 우선한다.","약관의 뜻이 명백하지 아니한 경우 고객에게 유리하게 해석해야 함에도, 사업자에게 일방적으로 유리한 해석 권한을 부여하는 불공정 조항입니다.",약관법 제6조 제2항 제1호,"본 약관의 해석에 이견이 있는 경우, 약관법 등 관련 법령에 따라 공정하게 해석한다."
V-062,AI_Generated_Data,소송 제기의 금지 등,회원은 어떠한 경우에도 회사를 상대로 집단 소송에 참여하거나 제기할 수 없다.,법률에 따라 보장된 고객의 집단소송 권리를 상당한 이유 없이 원천적으로 배제하거나 제한하는 조항입니다.,약관법 제14조 제1호,본 계약과 관련된 분쟁은 법률이 정하는 절차에 따라 해결할 수 있다.
