ID,파일명,대주제,소주제,불공정 약관 원문,시정 요청 사유,근거 조항,수정 후 약관 조항
10011,141114_+보험설계사+약관_보도자료,계약조건의 일방적 변경 조항,보험계약의 무효·취소할 때 이미 지급한 수당 환수 조항,"보험계약이 무효·취소되는 경우 이미 지급한 수당을무조건환수함.계약체결 후 해지, 취소, 무효된 계약에대하여는 수수료를 지급하지 않으며,그 계약으로 인하여 기 지급된 제 수수료를 전부 환수한다.
","고객의 민원 제기로 인한 보험계약의 소멸은 보험설계사의 불완전판매와같은 사유 이외에도 회사의 책임으로 인한 경우도 있을 수 있음. 보험회사의 상품설계 오류, 상품안내자료·약관·증권 등을잘못발행하여 회사 책임으로 보험계약이 무효·취소된 경우 보험설계사가위탁 업무를 적절히 수행하여 귀책사유가 없더라도 수당을 반환해야하므로 보험설계사에게 부당하게 불리함. 다만, 양쪽 모두에 귀책사유가 없는 경우에는 보험회사에 보험계약소멸의책임은 없으므로 수당을 환수하더라도 불공정하다고 볼 수 없음. 이에 따라 <2안>과 같이 회사의 귀책사유로 인한 경우에 한해환수하지 않는다고 시정하더라도 불공정성은 해소됨.",상당수 보험회사는 보험계약이 고객의 민원으로 인해 무효·취소되는경우 보험설계사에 이미 지급한 수당을 전액 환수하는 약관조항을두고 있음,"보험설계사의 귀책사유가 없는 경우에 환수하지 않거나, 회사의 귀책사유로 인한 경우에 환수하지 않는 등의 예외 조항을둠
 <1안> (본문생략) 단, 보험설계사의 귀책사유가 없는 경우 환수하지 아니한다.
 <2안> (본문생략) 단, 회사의 귀책사유로인한 경우 환수하지 아니한다."
10012,150223_(조간)은행+상호저축은행+불공정약관+시정_보도자료,면책·책임 제한 조항,. 은행의 손해 배상 책임을 불합리하게 제한하는 조항,"[종합자금관리서비스 이용 약관] 제12조 손해 배상 및 배상의 한계 2. 고객 또는 은행이 중대한 과실 또는 부주의, 법규의 위반 또는 이 약관의 중대한위반으로 인하여 발생한 손해 또는 손실을 다음 각 호와 같이 상대방에게배상하기로 합니다. 1. 은행은 고객이 은행에 납부한 과거 1년 간 수수료 합계 금액 이내에서배상하기로 합니다. 2. 고객은 제13조(분쟁해결절차) 또는 제14조(준거법및관할법원)에 의해 정한금액을배상하기로 합니다.","은행의 고의·과실로 고객에게 손해가 발생하면 은행은 고객에게 손해배상 책임을 져야 하며, 그 손해 배상은 실제 고객의 손해를 한도로 해야함.","은행법(제52조 제3항),상호저축은행법(제18조의3),약관법 제7조 제2호,
민법
제750조(불법 행위의 내용) 고의 또는 과실로 인한 위법행위로 타인에게 손해를 가한자는그 손해를 배상할 책임이 있다.
제763조(준용 규정) 제393조, 제394조, 제396조, 제399조의 규정은 불법행위로 인한 손해배상에 준용한다
제393조(손해 배상의 범위) ① 채무불이행으로 인한 손해 배상은 통상의 손해를 그 한도로 한다.",
10013,150223_(조간)은행+상호저축은행+불공정약관+시정_보도자료,계약조건의 일방적 변경 조항,은행의 일방적인 서비스 변경 조항,"[폰뱅킹서비스 이용약관] 제 3 조 (서비스의 종류) 2. 은행은 필요한 경우 서비스의 종류와 내용을 추가, 변경, 제한할 수 있습 니다.","서비스 이용 계약에 있어서 서비스 제공은 계약의 주된 급부로, 서비스의 중지·변경·제한은 고객의 계약상 권리·의무에 중대한 영향을 미치는 사항임. 따라서 약관에서 서비스 중지·변경·제한 사유를 규정하더라도 이는 불가피한 경우에 매우 제한적으로 인정되어야 할 뿐만 아니라, 그 사유 또한 구체적이고 명확해야 함.",약관법 제10조 제1호,
10014,150223_(조간)은행+상호저축은행+불공정약관+시정_보도자료,담보물·근저당 관련 조항,은행·상호저축은행의 자의적인 추가 담보 요구 조항,"[외환거래약정서] 제8조 담보와 보증 거래처는 외환거래의 채무와 관련하여 은행의 요구가 있을 때에는 은행이 만족할만한 담보를 제공하며, 환율·금리 등의 변동으로 담보가치가 부족한 경우에는 추가담보를 제공하거나 보증인을 세웁니다.","고객에게 아무런 귀책 사유가 없거나 담보 가치가 경미하게 감소한경우까지 은행이 고객에게 추가 담보 제공을 요구할 수 있도록 하는것은부당하게 불리하고, 기한의 이익 상실 등 예상치 못한 피해를줄수있음.  저당권의 침해에 대한 구제 방법 중 하나인 담보물 보충 청구권발생요건을 정하고 있는 민법 제362조는 요건을 보다 엄격하게규정하고 있음.",약관법 제7조 제2호,
10015,150223_(조간)은행+상호저축은행+불공정약관+시정_보도자료,계약해지·갱신 관련 조항,은행의 해지권 행사 요건을 완화한 조항,전자금융서비스 이용 약관] 제15조(거래 계약의 해지) 2. 다음 각호의 어느 하나에 해당하는 경우에는 상호저축은행은 고객 본인의 의사를확인하지 않고 서비스를 해지할 수 있다. 1. 대리인이 출금계좌의 통장․인감을 제시하고 출금계좌의 해지를 요청하는경우 2. 기타 관계법령 또는 약관을 위반한 때,"계약의 해지·취소 등은 계약 당사자의 이해 관계에 중대한 영향을 미치는 사항임. 비록 계약 위반이 있더라도 그것이 중대한 계약 위반으로 계약의 존속을 무의미하게 할 정도가 아니면 계약의 해제·해지를 엄격히 제한해야 하며, 그 사유를 약정하는 경우에도 사유가 구체적으로 열거되고 그 내용 또한 타당해야 함. 또한 채무 이행이 불가능하게 된 때 또는 관련 법규에서 정하고 있는 경우를 제외하고는 상당한 기간을 정하여 그 이행을 최고하고 그 기간 내에 이행하지 않을 때 계약을 해지·취소할 수 있어야 함","여신거래기본약관 제7조 제3항 내지 제5항,약관법
제9조 제2호",
10016,150223_(조간)은행+상호저축은행+불공정약관+시정_보도자료,계약해지·갱신 관련 조항,은행의 해지권 행사 요건을 완화한 조항,[외환거래약정서] 제11조 외국환거래약정의 취소 등 본인에게 은행의 여신거래기본약관 제7조의 기한전채무변제의무의 발생사유가있는 경우 은행은 이 약정서상 약정의 일부 또는 전부를 취소하거나 제2조에의한여신금액의 지출을 중지할 수 있기로 합니다.,"계약의 해지·취소 등은 계약 당사자의 이해 관계에 중대한 영향을 미치는 사항임. 비록 계약 위반이 있더라도 그것이 중대한 계약 위반으로 계약의 존속을 무의미하게 할 정도가 아니면 계약의 해제·해지를 엄격히 제한해야 하며, 그 사유를 약정하는 경우에도 사유가 구체적으로 열거되고 그 내용 또한 타당해야 함. 또한 채무 이행이 불가능하게 된 때 또는 관련 법규에서 정하고 있는 경우를 제외하고는 상당한 기간을 정하여 그 이행을 최고하고 그 기간 내에 이행하지 않을 때 계약을 해지·취소할 수 있어야 함","여신거래기본약관 제7조 제3항 내지 제5항,약관법
제9조 제2호",
10017,150223_(조간)은행+상호저축은행+불공정약관+시정_보도자료,계약해지·갱신 관련 조항,계약 연장 의사 표시 간주 조항,[포페이팅 거래 기본약정서] 제5조(약정 기간) 본 약정의 약정기간은 __부터 __까지 1년으로 하며 이후에는 일방 당사자가본 약정을 개정 또는 해지하겠다는 서면 통지를 약정 만기일로부터 최소 30일전에 상대방 당사자에게 보내지 않는 한 자동적으로 1년 단위로 연장된다.,약관법 제12조 제1호 단서에서 ‘고객에게 상당한 기한 내에 의사표시를하지 않으면 의사표시가 표명되거나 표명되지 않은 것으로 본다는뜻을명확하게 따로 고지하거나 부득이한 사유로 그러한 고지를할수없는 경우에는 그러하지 않다’ 고 규정하고 있음 따라서 위 약관 조항은 고객이 계약 만료일부터 최소 30일전까지해지의 의사 표시를 하지 않으면 자동 갱신의 의사 표시를한것으로 간주하고 있는 조항으로 약관법 제12조 제1호에 해당함.,약관법 제12조 제1호,
10018,150223_(조간)은행+상호저축은행+불공정약관+시정_보도자료,면책·책임 제한 조항,은행의 고의·중과실을 불문하고 책임을 면제한 조항,"[펌뱅킹 서비스 이용계약서] 제6조 업무처리 일반 3. 은행은 이용기관이 전송한 거래지시 또는 자료 등이 착오, 오용, 유용, 위조, 변조 및 기타의 사고에 의한 것이라도 은행은 그 처리 결과에 책임을 지지 아니한다.",민법 제750조에 따라 은행의 고의·과실로 인하여 업무 처리 결과 고객에게 손해가 발생하였다면 은행은 손해 배상 책임을 져야 함. 위 약관 조항은 회사의 고의·과실 여부를 불문하고 회사의 책임을 배제하고 있으므로 약관법 제7조 제1호에 해당함,약관법 제7조 제1호,
10019,150223_(조간)은행+상호저축은행+불공정약관+시정_보도자료,"담보물·근저당 관련 조항
면책·책임 제한 조항",은행의 자의적인 추가담보 요구 조항,"[외환거래약정서] 제8조 담보와 보증 거래처는 외환거래의 채무와 관련하여 은행의 요구가 있을 때에는 은행이만족할만한 담보를 제공하며, 환율·금리 등의 변동으로 담보가치가 부족한 경우에는추가담보를 제공하거나 보증인을 세웁니다.","고객에게 아무런 귀책사유가 없거나 담보가치가 경미하게 감소한 경우까지 은행이 추가 담보 제공을 요구할 수 있도록 하는 것은고객에게 부당하게 불리하고, 기한의 이익 상실 등 예상치 못한피해를줄 수 있음.",약관법 제7조 제2호,
10020,150223_(조간)은행+상호저축은행+불공정약관+시정_보도자료,고객 선택권 제한 조항,은행이 일방적으로 통신수단을 결정하게 하는 조항,"[은행간 결제서비스 웹사이트 이용약관] 제11조 통지 ① 은행은 이용회원에게 통지를 하는 경우, 이용회원이 은행에 제출한 전자우편 주소, (휴대)전화번호 또는 은행이 정한 통신 수단 중 은행이 적당하다고 판단 되는 통신수단을 이용합니다.","은행이 고객에게 통지하는 내용 중에는 계약상 중요한 사항이 포함될 수 있는데, 은행이 자의적으로 통신수단을 정하여 통지하게 된다면 중요한 사항을 통지받지 못한 고객은 불측의 손해를 입을",약관법제6조제2항 제1호,
10021,150223_(조간)은행+상호저축은행+불공정약관+시정_보도자료,담보물·근저당 관련 조항,변제자대위권 무상양도 조항,"[외환거래약정서] 제9조 제3자의 변제 및 대위변제 ② 연대보증인, 연대채무자 등 이해관계인은 변제 등에 따른 대위에 의하여 은행으로부터취득한 권리를 은행과 본인간의 거래가 계속되고 있는 동안에는 은행의 동의없이행사하지 아니하기로 하고, 은행과 동시에 그 권리를 행사할 경우에도 은행이 그채권전부를 변제받은 다음에 변제받는다.","연대보증인 등과 같이 변제할 정당한 이익이 있는 이해관계인이대위변제하는 경우, 채권자가 주채무자에 대해 갖고 있던채권및 담보권은 대위변제자에게 법률상 당연히 이전됨.(민법 제481조)  또한, 채권의 일부에 대한 대위변제가 있는 경우 대위변제자는그 변제한 가액에 비례하여 채권자와 함께 그 권리를 행사할수있음.","약관법 제6조 제2항 제1호
약관법 제11조 제1호
민법 제483조 제1항",
10022,150223_(조간)은행+상호저축은행+불공정약관+시정_보도자료,담보물·근저당 관련 조항,담보권의 사적실행 사유·절차 등이 불명확한 조항,"근질권설정계약서] 제8조 담보목적물의 처분 ② 제1항에 의한 담보목적물에 대한 담보권실행방법으로는 민사집행법에 의한환가방법 이외에도 은행이 적당하다고 인정하는 방법, 시기, 가격 등에 의하여담보목적물을 제3자에게 양도하거나 매각할 수 있기로 합니다",은행의 자의적인 판단에 의하여 사적 절차를 통해 담보목적물을 처분할 수 있도록 하면 은행이 임의로 담보목적물의 가치를 저평가 하거나 채무자가 채무액과 담보목적물 시가의 차액을 제대로 정산 받지 못할 우려가 있음.,"여신거래기본약관(기업용) 제6조 제2항
약관법제6조 제2항 제1호",
10023,150223_(조간)은행+상호저축은행+불공정약관+시정_보도자료,기타 불공정 조항,약관변경 절차 조항,[전자무역업무 약관] 제14조 [약관변경] ① 은행이 이 약관을 변경하고자 할 경우에는 전 영업점 또는 은행 홈페이지에 1개월간 게시하기로 한다. ② 게시일로부터 1개월 이내에 서면에 의한 이의제기가 없는 경우 약관변경을 승인한 것으로 간주한다.,"약관을 고객에게 불리한 내용으로 변경하는 경우 고객이 그내용을 충분히 알 수 있도록 알리고, 고객이 계약을 해지할 수 있다는내용을 함께 통지하여 고객의 권리를 보장할 필요가 있음. 위 약관조항은 고객에게 개별적으로 통지하는 방법을 명확히하지 않았거나 인터넷 홈페이지, 영업점 게시만으로 갈음하는 등계약을변경하고서도 고객으로 하여금 계약의 존속여부를 판단할 수있는충분한 기회를 부여하지 않고 있음.  또한 약관의 내용이 불리한 내용으로 변경되는 경우 고객이계약을해지할 수 있다는 안내와 관련된 내용이 결여되어 있음. 특별한 필요와 목적으로 의사표현의 방법을 제한해야 할 이유가있지않는 이상 고객의 의사표시는 일반적으로 통용되는 방법으로 가능해야하는데, 위 약관 조항에 따르면 개인고객들의 경우 의사표시방법이제한되어 그 행사에 있어 제약을 받을 우려가 있음.",제6조 제2항 제1호,
10024,150223_(조간)은행+상호저축은행+불공정약관+시정_보도자료,기타 불공정 조항,고객의 이의제기 금지 조항,[사이버브랜치 표준계약서] 제13조 (청렴계약조항) ③ “갑”은 청렴계약조항 이행과 관련된 불이익 처분에 대하여 민형사상 일체의이의를 제기할 수 없다,"기업고객과의 관계에서 청렴의무를 부과하는 것은 계약관계를 투명 하게 유지하기 위한 취지에서 정하고 있는 것으로 보이나, 사적인 계약관계에서 이의제기를 일체 금지하는 것은 고객에게 부당하게 불리한 측면이 있음.",약관법 제11조 제1호,
